date,net
2025-06-02,0.0
2025-06-03,0.0
2025-06-04,0.0
2025-06-05,0.0
2025-06-06,0.0
2025-06-09,0.0
2025-06-10,0.0
2025-06-11,0.0
2025-06-12,0.0
2025-06-13,0.0
2025-06-16,0.0
2025-06-17,0.0
2025-06-18,0.0
2025-06-20,0.0
2025-06-23,0.0
2025-06-24,0.0
2025-06-25,0.0
2025-06-26,0.0
2025-06-27,0.0
2025-06-30,0.0
2025-07-01,0.0
2025-07-02,0.0
2025-07-03,0.0
2025-07-07,0.0
2025-07-08,0.0
2025-07-09,0.0
2025-07-10,0.0
2025-07-11,0.0
2025-07-14,0.0
2025-07-15,0.0
2025-07-16,0.0
2025-07-17,0.0
2025-07-18,0.0
2025-07-21,0.0
2025-07-22,0.0
2025-07-23,0.0
2025-07-24,0.0
2025-07-25,0.0
2025-07-28,0.0
2025-07-29,0.0
2025-07-30,-0.0001
2025-07-31,-0.0057803354725106115
2025-08-01,-0.01986098852310103
2025-08-04,0.025674947512526303
2025-08-05,-0.007368308062803974
2025-08-06,0.007083475194829547
2025-08-07,0.0033433354542132254
2025-08-08,0.00923704937533476
2025-08-11,-0.0027402367983873632
2025-08-12,0.008343978697161636
2025-08-13,-0.002574314161651936
2025-08-14,0.0012305054637830048
2025-08-15,-0.005483346271126344
2025-08-18,0.004213736763400366
2025-08-19,-0.020211614295495894
2025-08-20,-0.0020117350726107097
2025-08-21,-0.0032031871415028057
2025-08-22,0.016279371766587225
2025-08-25,0.002912153991496247
2025-08-26,0.007543680394806351
2025-08-27,0.000671628358165588
2025-08-28,-0.002166505711312161
2025-08-29,-0.019605066791402226
2025-09-02,-0.013465157508300296
2025-09-03,0.0022413553782525963
2025-09-04,0.0072264140463861315
2025-09-05,-0.014963202334805414
2025-09-08,0.0050901053982848055
2025-09-09,0.008434163409375639
2025-09-10,0.020682946370305433
2025-09-11,0.0037039671180562617
2025-09-12,0.0016671290341310208
2025-09-15,0.0024651330798204363
2025-09-16,-0.00876158114772535
2025-09-17,-0.013744496659181038
2025-09-18,0.01980643382719216
2025-09-19,0.0023071136732183417
2025-09-22,0.02200666543977725
2025-09-23,-0.016827777846764813
2025-09-24,-0.005681988290815676
2025-09-25,-0.00032251836612635096
2025-09-26,0.002814523972342603
2025-09-29,0.011675152504280972
2025-09-30,0.014888661887135113
2025-10-01,0.0034724220478570267
2025-10-02,0.004982069114445875
2025-10-03,-0.003369216315509127
2025-10-06,-0.0037499599724206134
2025-10-07,-0.0032011727574903226
2025-10-08,0.013979150112798933
2025-10-09,0.007699614608657923
2025-10-10,-0.0379465900376717
2025-10-13,0.02175809178594268
2025-10-14,-0.022671230692930373
2025-10-15,0.002169772586563584
2025-10-16,0.002100054805432683
2025-10-17,0.00671583143407839
2025-10-20,0.003617462246167491
2025-10-21,-0.004059134612341697
2025-10-22,-0.0050782648849876984
2025-10-23,0.0029149595687332163
2025-10-24,0.015340123590158572
2025-10-27,0.01993837032322876
2025-10-28,0.02623791883490212
2025-10-29,0.01518817140716655
2025-10-30,-0.015521279596951265
2025-10-31,0.0006543600830494767
2025-11-03,0.011778375354450477
2025-11-04,-0.025720854972814344
2025-11-05,-0.00702464345658127
2025-11-06,-0.023627064284540866
2025-11-07,0.0006784005535228621
2025-11-10,0.03676838753652778
2025-11-11,-0.013650642677630775
2025-11-12,0.0019348421733385024
2025-11-13,-0.026202051111151203
2025-11-14,0.008775057845920697
2025-11-17,-0.014094561866036364
2025-11-18,-0.01404072883172558
2025-11-19,0.01417584913983238
2025-11-20,-0.023433530770127782
2025-11-21,-0.004871567759078821
2025-11-24,0.010208273703041221
2025-11-25,-0.008302410310221447
2025-11-26,0.003451749577790264
2025-11-28,0.0027292255178907876
2025-12-01,-0.0022827375290829788
2025-12-02,0.0009261028709188768
2025-12-03,0.0017313984710871644
2025-12-04,0.0003655558642471357
2025-12-05,0.0009497508730402782
2025-12-08,-0.001552136534002274
2025-12-09,-0.002044441019795456
2025-12-10,0.0032660576247365235
2025-12-11,-0.006590318212030877
2025-12-12,-0.02175831524198791
2025-12-15,-0.0007553977939450673
2025-12-16,-0.0013661804239566422
2025-12-17,-0.005501789738830698
2025-12-18,0.0037756925826630816
2025-12-19,0.0030452200393217277
2025-12-22,0.003114944386488183
