date,open,high,low,close,volume
2025-06-02,346.47,346.47,339.5,344.67,2552788.0
2025-06-03,346.0,350.84,344.9182,349.4,2614301.0
2025-06-04,350.3,351.73,349.33,349.33,1616391.0
2025-06-05,351.0,351.51,345.85,348.96,1753704.0
2025-06-06,353.57,357.44,352.26,353.35,1608073.0
2025-06-09,355.22,360.46,353.925,358.07,2147099.0
2025-06-10,359.44,360.355,356.085,358.57,1894523.0
2025-06-11,360.94,364.29,357.745,363.14,2551804.0
2025-06-12,359.85,362.0,357.87,360.96,1571922.0
2025-06-13,357.23,360.38,355.7,357.05,1609882.0
2025-06-16,361.0,364.6099,360.2,362.44,1579789.0
2025-06-17,360.72,362.39,357.03,357.68,1560105.0
2025-06-18,357.13,364.23,356.96,359.8,2000469.0
2025-06-20,362.95,364.25,359.14,360.52,6268337.0
2025-06-23,359.92,367.1,357.733,366.23,2927378.0
2025-06-24,369.89,374.105,367.917,373.02,3842180.0
2025-06-25,373.0,374.19,369.513497,371.58,1737892.0
2025-06-26,374.0,382.33,373.043,381.88,2575085.0
2025-06-27,383.02,387.49,382.75,384.71,4455001.0
2025-06-30,386.31,389.15,384.81,388.21,2791538.0
2025-07-01,386.59,393.89,384.25,390.92,2393985.0
2025-07-02,392.7,398.635,389.42,398.43,2713685.0
2025-07-03,398.92,402.42,397.59,397.86,1737838.0
2025-07-07,398.06,398.06,388.09,391.51,3012875.0
2025-07-08,392.43,395.95,391.52,394.29,2003569.0
2025-07-09,399.72,403.76,396.88,402.18,3100968.0
2025-07-10,404.66,412.0,403.44,408.33,3383755.0
2025-07-11,405.45,406.88,401.7,405.92,2072955.0
2025-07-14,404.0,406.79,402.226,405.77,2497731.0
2025-07-15,406.26,408.75,403.02,404.64,2167235.0
2025-07-16,405.0,413.07,403.32,412.88,3242126.0
2025-07-17,414.86,419.9,412.88,418.07,2445031.0
2025-07-18,418.7,419.9,412.16,413.71,2526690.0
2025-07-21,417.22,417.43,409.84,410.07,1833690.0
2025-07-22,410.375,418.52,410.375,417.19,2185012.0
2025-07-23,420.0,428.16,419.45,427.59,3254863.0
2025-07-24,427.04,430.16,424.5,429.52,2511355.0
2025-07-25,429.69,434.87,428.62,433.75,2218847.0
2025-07-28,431.25,436.4,431.12,432.94,2550479.0
2025-07-29,434.55,435.21,424.8,430.05,2384032.0
2025-07-30,430.0,436.83,426.43,434.12,3172623.0
2025-07-31,434.13,441.15,433.68,438.02,4116363.0
2025-08-01,426.97,430.86,421.29,428.69,4027733.0
2025-08-04,430.86,436.8916,429.99,433.7,4059537.0
2025-08-05,427.65,439.74,426.57,434.23,4329916.0
2025-08-06,433.34,434.71,425.54,427.72,2630801.0
2025-08-07,426.84,427.33,409.96,417.12,4261088.0
2025-08-08,420.52,421.8999,415.76,416.52,2965513.0
2025-08-11,416.98,418.29,406.8,408.54,3416162.0
2025-08-12,411.0,418.19,409.64,412.71,2765814.0
2025-08-13,415.18,415.54,410.54,413.7,4403194.0
2025-08-14,409.3,419.24,407.0,417.5,3676023.0
2025-08-15,415.72,416.555,407.1,407.79,3107741.0
2025-08-18,407.0,413.14,405.46,412.64,3185165.0
2025-08-19,419.31,421.88,414.06,416.09,3543629.0
2025-08-20,414.8,421.92,412.05,420.59,4060195.0
2025-08-21,419.93,420.58,414.16,417.89,2504344.0
2025-08-22,421.61,437.84,420.05,435.67,3785096.0
2025-08-25,435.0,436.8993,432.17,432.3,1858079.0
2025-08-26,431.4,432.185,427.24,431.26,2792215.0
2025-08-27,429.73,435.06,428.95,432.67,1971269.0
2025-08-28,434.91,435.98,432.63,434.91,1651718.0
2025-08-29,425.41,428.1,414.37,419.04,3673787.0
2025-09-02,413.91,417.205,410.515,416.05,2329944.0
2025-09-03,418.13,418.13,411.37,415.12,1496741.0
2025-09-04,415.81,420.79,414.2875,420.22,1634609.0
2025-09-05,420.835,424.8999,417.91,423.08,1843342.0
2025-09-08,422.65,423.91,416.78,422.78,1876960.0
2025-09-09,423.16,423.55,416.44,418.09,1710703.0
2025-09-10,419.82,426.5,419.5,422.91,2221280.0
2025-09-11,423.92,435.79,423.32,431.38,2738072.0
2025-09-12,429.06,432.61,427.75,431.52,2341766.0
2025-09-15,433.83,438.75,430.61,435.94,2255875.0
2025-09-16,436.13,440.8,434.28,440.67,2366493.0
2025-09-17,445.0,452.34,443.0,450.66,4512193.0
2025-09-18,450.96,467.71,448.865,466.96,4331863.0
2025-09-19,470.26,472.12,462.71,466.54,5069345.0
2025-09-22,467.31,473.24,459.6116,472.1,3179951.0
2025-09-23,473.26,485.3375,468.19,471.26,3856637.0
2025-09-24,472.7,476.52,468.6261,469.79,2776892.0
2025-09-25,464.71,468.0,459.575,463.72,2979229.0
2025-09-26,465.48,468.45,462.38,465.76,2329149.0
2025-09-29,468.08,472.49,467.46,471.61,2892237.0
2025-09-30,471.62,477.44,470.24,477.15,2315264.0
2025-10-01,474.01,483.93,471.14,480.82,2964858.0
2025-10-02,486.86,495.98,484.19,490.57,2648753.0
2025-10-03,493.25,504.48,492.525,497.85,2996868.0
2025-10-06,500.42,505.589,493.04,495.38,2629156.0
2025-10-07,497.93,498.376,483.545,486.71,2135728.0
2025-10-08,490.99,509.4799,489.34,502.12,3959416.0
2025-10-09,504.06,506.53,497.14,500.36,3114119.0
2025-10-10,503.115,511.5,491.3,491.3,3889116.0
2025-10-13,502.15,506.38,495.45,504.76,2618593.0
2025-10-14,500.58,531.56,499.01,527.47,5459830.0
2025-10-15,534.2,538.449,527.2109,534.05,3447104.0
2025-10-16,538.06,544.9899,534.7,540.96,3463082.0
2025-10-17,537.375,542.21,526.97,527.08,2814681.0
2025-10-20,529.56,534.2,526.94,531.18,2170839.0
2025-10-21,525.07,533.38,522.04,524.65,2259080.0
2025-10-22,525.73,525.8,510.21,513.91,4149408.0
2025-10-23,518.33,522.89,513.01,520.5,2619367.0
2025-10-24,522.86,527.23,521.0201,522.73,2392328.0
2025-10-27,527.05,529.472,521.43,527.07,2493765.0
2025-10-28,525.96,530.29,521.6744,524.47,2775399.0
2025-10-29,558.18,596.21,558.0,585.49,6948546.0
2025-10-30,577.885,593.77,575.77,583.15,2574806.0
2025-10-31,584.03,587.05,571.3501,577.26,2974760.0
2025-11-03,575.93,576.22,565.39,570.59,2439751.0
2025-11-04,565.0,566.5,545.2,547.58,3440740.0
2025-11-05,551.94,574.01,550.355,569.15,2701295.0
2025-11-06,573.2,583.99,564.23,569.78,2246131.0
2025-11-07,563.55,565.575,550.33,563.1,2320052.0
2025-11-10,570.0,574.18,561.51,570.85,1830279.0
2025-11-11,568.72,570.45,560.26,567.93,1517433.0
2025-11-12,570.5,581.27,570.5,573.02,2645380.0
2025-11-13,572.77,576.8199,544.63,553.55,3458688.0
2025-11-14,548.96,558.31,541.0,554.03,2764743.0
2025-11-17,552.585,561.59,547.57,552.05,1941133.0
2025-11-18,543.35,551.57,538.05,546.88,1918917.0
2025-11-19,550.0,560.91,547.635,553.11,1880907.0
2025-11-20,565.95,568.865,541.0,546.13,3195043.0
2025-11-21,545.82,554.99,537.08,550.43,2921913.0
2025-11-24,552.13,565.74,550.6701,559.6,4653463.0
2025-11-25,564.59,567.14,547.55,566.61,3105486.0
2025-11-26,566.61,574.88,566.02,573.73,1995114.0
2025-11-28,573.79,577.36,572.4,575.76,1019499.0
2025-12-01,570.41,575.59,567.0,568.06,1764470.0
2025-12-02,571.33,585.5599,569.06,582.47,2749464.0
2025-12-03,581.4,593.24,562.21,591.49,2545695.0
2025-12-04,590.18,602.72,587.0001,599.15,2313594.0
2025-12-05,604.0,607.0,597.7382,603.17,2177278.0
2025-12-08,604.655,604.85,591.93,596.5,1822521.0
2025-12-09,593.05,599.99,592.23,594.36,1755275.0
2025-12-10,600.13,617.23,598.69,615.35,2797893.0
2025-12-11,610.45,626.81,604.2583,625.61,2779489.0
2025-12-12,626.0,627.5,595.78,597.89,4581053.0
2025-12-15,602.53,604.15,587.89,589.76,3968606.0
2025-12-16,590.7,598.655,586.28,588.93,2319382.0
2025-12-17,587.59,590.999,557.46,561.89,3753312.0
2025-12-18,568.5,574.6599,561.91,565.83,2193033.0
2025-12-19,572.69,581.73,570.33,576.22,5355561.0
2025-12-22,584.49,585.79,575.692,582.41,2387725.0
2025-12-23,580.5,588.71,580.5,582.42,1731351.0
2025-12-24,582.66,587.13,581.0,583.76,947042.0
2025-12-26,583.21,583.8299,578.65,583.0,954395.0
2025-12-29,580.09,583.969,574.64,578.61,2585835.0
2025-12-30,580.01,580.98,575.51,577.39,1216946.0
2025-12-31,577.3,578.94,572.05,572.87,1164004.0
2026-01-02,577.59,599.61,575.31,598.41,2762009.0
2026-01-05,607.88,621.75,606.22,616.1,3444837.0
2026-01-06,616.0,626.77,608.9,623.09,2706762.0
2026-01-07,623.0,625.0,595.775,596.52,3312371.0
2026-01-08,596.52,609.5799,594.1745,608.13,2075412.0
2026-01-09,609.97,619.15,608.2,617.62,1822011.0
2026-01-12,614.65,630.98,612.96,629.77,1856964.0
2026-01-13,633.2,644.59,633.0,636.53,1959083.0
2026-01-14,634.1,639.73,623.07,638.75,2106113.0
2026-01-15,644.94,652.3599,644.04,647.18,2052803.0
2026-01-16,651.97,655.68,641.01,646.89,2554861.0
2026-01-20,642.0,644.1,625.12,629.0,2659038.0
2026-01-21,633.67,647.201,627.3201,645.38,2490744.0
2026-01-22,649.11,655.78,640.9,648.41,1565707.0
2026-01-23,644.12,646.5,623.5702,626.62,2267826.0
2026-01-26,628.0,639.0,619.2604,635.92,2532867.0
2026-01-27,640.0,644.13,633.23,638.91,1827521.0
2026-01-28,637.97,647.28,628.98,643.28,2720670.0
2026-01-29,655.17,679.99,642.73,665.24,4441879.0
2026-01-30,655.65,677.831,650.31,657.36,3300085.0
2026-02-02,659.82,691.38,657.4305,690.91,4450010.0
2026-02-03,694.36,710.03,691.4,702.89,3524657.0
2026-02-04,707.0,723.16,675.0,691.82,7146654.0
2026-02-05,681.54,686.5,665.07,678.31,2792796.0
2026-02-06,692.57,727.4,690.52,726.2,3359724.0
2026-02-09,724.5,743.4999,721.61,742.12,2496781.0
2026-02-10,742.75,752.0,737.6701,742.37,4008672.0
2026-02-11,758.68,775.54,756.1,775.0,3926333.0
2026-02-12,776.69,789.81,756.01,758.29,4893393.0
2026-02-13,765.0,784.0,747.42,774.2,3232805.0
2026-02-17,765.0,774.42,750.0,764.76,3450284.0
2026-02-18,765.11,772.7,750.38,751.97,2563692.0
2026-02-19,752.0,762.0,744.15,760.53,2908016.0
2026-02-20,755.0,771.9699,752.11,759.74,2095147.0
2026-02-23,758.95,767.98,752.7827,756.47,2289560.0
2026-02-24,755.0,773.94,751.69,768.23,2615316.0
2026-02-25,772.5,777.6,756.74,766.61,2606526.0
2026-02-26,770.61,770.61,728.4,752.93,3350914.0
2026-02-27,745.22,751.49,731.04,742.83,3441936.0
2026-03-02,733.49,755.73,725.055,752.32,2473058.0
2026-03-03,728.27,731.665,706.6,722.18,3332671.0
2026-03-04,737.09,746.01,730.8412,731.97,2823711.0
2026-03-05,720.0,728.07,693.5764,706.08,3719844.0
2026-03-06,682.47,696.33,675.07,680.9,3564419.0
2026-03-09,665.22,708.63,662.8477,704.82,3584373.0
2026-03-10,712.78,730.7909,710.28,716.68,3089074.0
2026-03-11,713.5,720.42,703.63,707.59,1953586.0
2026-03-12,693.0,703.77,679.7553,700.69,3231819.0
2026-03-13,704.34,706.9287,687.18,693.99,2042163.0
2026-03-16,705.37,710.0,694.595,699.78,2145487.0
2026-03-17,707.36,709.0,694.91,702.0,1824937.0
2026-03-18,701.305,711.84,692.7,693.62,1796173.0
2026-03-19,676.49,693.49,669.0,688.65,2240180.0
2026-03-20,686.63,694.06,670.44,680.88,5131128.0
2026-03-23,699.0,712.0,694.56,701.7,2981009.0
2026-03-24,693.8,721.15,693.03,716.63,2098290.0
2026-03-25,727.25,729.35,717.0,719.04,1591456.0
2026-03-26,710.07,717.97,696.43,703.19,2428682.0
2026-03-27,694.47,708.36,692.33,695.4,2059801.0
2026-03-30,702.21,702.99,664.57,667.43,2609971.0
2026-03-31,680.0,708.89,672.0,708.46,3002163.0
2026-04-01,722.0,740.01,719.74,730.32,2435826.0
2026-04-02,705.57,735.41,705.45,717.22,1764325.0
2026-04-06,716.74,722.57,704.27,721.24,1246531.0
2026-04-07,719.59,725.73,708.93,724.44,1549121.0
2026-04-08,764.62,774.398,753.1,771.58,3013995.0
2026-04-09,773.0,795.52,772.99,787.07,2801890.0
2026-04-10,790.67,797.85,786.24,790.66,1872030.0
2026-04-13,788.42,798.54,785.33,791.73,1820142.0
2026-04-14,796.0,797.9999,782.0408,794.25,1866304.0
2026-04-15,787.1,789.9655,756.6501,770.17,2764742.0
2026-04-16,768.0,772.81,754.45,772.66,2005066.0
2026-04-17,780.51,801.77,776.0,794.65,2818838.0
2026-04-20,790.9,799.63,786.83,798.4,1454089.0
2026-04-21,804.88,820.2,797.79,800.45,2293546.0
2026-04-22,812.5,817.85,805.481,808.87,1628402.0
2026-04-23,817.11,845.27,815.46,835.24,2601828.0
2026-04-24,839.26,839.5,826.65,830.79,2253922.0
2026-04-27,829.76,836.02,816.72,828.79,1987044.0
2026-04-28,814.35,825.0,805.0,817.87,1875554.0
2026-04-29,822.93,823.21,809.1,810.05,2566311.0
2026-04-30,856.63,896.98,850.8,890.11,5203322.0
2026-05-01,896.84,905.0,879.58,889.67,2376503.0
2026-05-04,887.28,892.84,869.5923,874.78,2669860.0
2026-05-05,888.1,908.9,888.1,904.59,2581097.0
2026-05-06,913.5,930.54,905.35,926.93,3010561.0
2026-05-07,929.96,931.35,886.88,895.69,2957310.0
2026-05-08,911.0,914.77,893.85,897.45,2030291.0
2026-05-11,903.61,929.0,895.06,926.79,2811658.0
2026-05-12,912.0,915.0926,894.51,912.14,2348885.0
2026-05-13,912.5,922.99,897.38,902.3,1957140.0
2026-05-14,910.0,920.35,902.5001,920.22,2095582.0
2026-05-15,898.75,899.73,880.2,888.31,2907875.0
2026-05-18,893.32,893.32,850.825,863.95,2720549.0
