date,open,high,low,close,volume
2026-04-07,285.5,290.1,283.115,288.6,5280523.0
2026-04-08,309.92,313.13,305.3,308.06,6432947.0
2026-04-09,306.0,315.05,304.15,313.02,5470846.0
2026-04-10,313.075,313.47,306.42,308.35,3685075.0
2026-04-13,306.43,312.15,304.32,311.9,3811524.0
2026-04-14,315.01,319.14,313.02,318.0,3530123.0
2026-04-15,316.44,318.58,311.4,313.93,3993675.0
2026-04-16,313.57,313.95,297.86,298.29,7373302.0
2026-04-17,310.13,314.0,303.85,304.13,7733130.0
2026-04-20,303.88,305.47,298.407,303.6,5315238.0
2026-04-21,293.575,304.3,284.21,286.73,12891514.0
2026-04-22,286.65,287.8,268.91,276.29,12777736.0
2026-04-23,276.49,282.94,273.36,282.34,8591060.0
2026-04-24,280.61,286.13,277.18,284.6,9672326.0
2026-04-27,282.81,284.87,280.1,284.56,5213319.0
2026-04-28,283.37,289.41,280.55,289.2,8417195.0
2026-04-29,287.21,289.94,279.59,283.57,9819435.0
2026-04-30,285.01,291.57,284.83,289.93,7603441.0
2026-05-01,289.05,291.76,286.24,286.51,3782915.0
2026-05-04,286.4,289.84,279.41,280.52,6133142.0
2026-05-05,282.48,290.66,281.61,286.68,6401124.0
2026-05-06,300.43,308.37,299.86,305.83,9168303.0
2026-05-07,308.01,310.0,301.86,302.63,5477769.0
2026-05-08,304.45,305.41,296.83,297.15,3952214.0
2026-05-11,296.03,303.07,292.85,300.77,4561956.0
2026-05-12,299.72,300.91,293.3,297.45,4393309.0
2026-05-13,295.97,298.4,291.31,294.71,4219931.0
2026-05-14,295.03,297.85,289.08,291.54,4686235.0
2026-05-15,287.49,288.31,281.31,281.53,5022486.0
2026-05-18,283.39,287.24,282.04,285.99,4696219.0
2026-05-19,284.79,287.42,282.62,285.28,5239411.0
2026-05-20,289.0,300.45,286.18,300.17,6098415.0
2026-05-21,298.5,302.88,294.75,301.76,4928288.0
2026-05-22,303.25,306.3,300.25,302.84,3504050.0
2026-05-26,306.35,314.98,306.345,314.49,5088367.0
2026-05-27,314.3,320.48,311.95,317.21,4789710.0
2026-05-28,316.77,322.32,314.29,320.82,5025514.0
2026-05-29,319.33,325.92,316.58,323.76,9347285.0
2026-06-01,321.48,326.4,314.92,324.6,4633490.0
2026-06-02,323.0,325.03,316.66,317.72,4827568.0
2026-06-03,313.44,319.55,311.0,314.64,4127049.0
2026-06-04,316.67,329.46,316.25,327.65,4243356.0
2026-06-05,326.9,332.485,322.53,328.0,3951484.0
2026-06-08,329.57,332.015,321.04,322.04,3152139.0
2026-06-09,324.65,331.31,320.02,330.44,4825257.0
2026-06-10,329.49,330.57,318.25,318.71,3777766.0
2026-06-11,320.56,332.92,319.76,332.76,4451191.0
2026-06-12,334.56,336.86,328.47,335.3,4377475.0
2026-06-15,343.45,348.9,341.96,342.26,5252659.0
2026-06-16,344.04,352.88,344.04,351.73,5210321.0
2026-06-17,352.105,362.33,350.0,357.03,5029381.0
2026-06-18,362.85,364.7,357.1,357.64,7763392.0
2026-06-22,357.64,361.28,354.54,355.12,5426729.0
2026-06-23,349.28,359.92,347.7684,356.47,4735236.0
2026-06-24,356.84,369.25,355.6571,365.88,6453721.0
2026-06-25,367.645,379.67,366.51,371.36,7592286.0
2026-06-26,368.4,371.44,363.82,369.0,8361163.0
2026-06-29,367.82,376.0,367.47,373.71,6071493.0
2026-06-30,374.61,376.82,368.74,373.73,4887485.0
2026-07-01,375.03,376.6899,371.38,374.94,3951404.0
2026-07-02,379.79,382.97,374.37,377.52,3275341.0
2026-07-06,377.17,380.29,373.835,378.68,4065424.0
2026-07-07,377.3999938964844,377.8999938964844,363.6300048828125,366.9800109863281,4263100.0
2026-07-08,360.1199951171875,363.010009765625,354.25,356.0299987792969,4214900.0
2026-07-09,361.5899963378906,362.260009765625,357.8699951171875,359.0400085449219,3045200.0
2026-07-10,356.8099975585937,360.6900024414063,353.75,359.2699890136719,2335100.0
2026-07-13,356.1700134277344,358.70001220703125,352.0299987792969,353.4200134277344,2668900.0
2026-07-14,355.010009765625,359.20001220703125,352.57000732421875,353.7300109863281,4416200.0
2026-07-15,355.6000061035156,360.6300048828125,353.3500061035156,360.3500061035156,5429300.0
2026-07-16,353.2200012207031,354.2699890136719,336.5299987792969,345.7300109863281,6883600.0
2026-07-17,346.989990234375,357.05999755859375,343.0199890136719,348.8299865722656,5596300.0
2026-07-20,353.79998779296875,357.1000061035156,339.8900146484375,341.29998779296875,3887100.0
2026-07-21,345.0,346.25,340.010009765625,340.70001220703125,3936000.0
