date,net
2025-06-02,0.0
2025-06-03,0.0
2025-06-04,0.0
2025-06-05,0.0
2025-06-06,0.0
2025-06-09,0.0
2025-06-10,0.0
2025-06-11,0.0
2025-06-12,0.0
2025-06-13,0.0
2025-06-16,0.0
2025-06-17,0.0
2025-06-18,0.0
2025-06-20,0.0
2025-06-23,0.0
2025-06-24,0.0
2025-06-25,0.0
2025-06-26,0.0
2025-06-27,0.0
2025-06-30,0.0
2025-07-01,0.0
2025-07-02,0.0
2025-07-03,0.0
2025-07-07,0.0
2025-07-08,0.0
2025-07-09,0.0
2025-07-10,0.0
2025-07-11,0.0
2025-07-14,0.0
2025-07-15,0.0
2025-07-16,0.0
2025-07-17,0.0
2025-07-18,0.0
2025-07-21,0.0
2025-07-22,0.0
2025-07-23,0.0
2025-07-24,0.0
2025-07-25,0.0
2025-07-28,0.0
2025-07-29,0.0
2025-07-30,0.0
2025-07-31,0.0
2025-08-01,0.0
2025-08-04,0.0
2025-08-05,0.0
2025-08-06,0.0
2025-08-07,0.0
2025-08-08,0.0
2025-08-11,0.0
2025-08-12,-5e-05
2025-08-13,-0.00433587027735311
2025-08-14,0.0012305054637830048
2025-08-15,-0.005483346271126344
2025-08-18,0.004213736763400366
2025-08-19,-0.020211614295495894
2025-08-20,-0.0020117350726107097
2025-08-21,-0.0032031871415028057
2025-08-22,0.016229371766587224
2025-08-25,0.005062646777908903
2025-08-26,0.007493680394806352
2025-08-27,-0.0005176239203389443
2025-08-28,-0.002166505711312161
2025-08-29,-0.019605066791402226
2025-09-02,-0.013465157508300296
2025-09-03,0.002191355378252596
2025-09-04,0.002997708357754031
2025-09-05,-0.014963202334805414
2025-09-08,0.0050901053982848055
2025-09-09,0.008434163409375639
2025-09-10,0.020682946370305433
2025-09-11,0.003653967118056262
2025-09-12,0.0017843963424959365
2025-09-15,0.002415133079820436
2025-09-16,-0.008123136427566796
2025-09-17,-0.013744496659181038
2025-09-18,0.01980643382719216
2025-09-19,0.0023071136732183417
2025-09-22,0.02200666543977725
2025-09-23,-0.016827777846764813
2025-09-24,-0.005681988290815676
2025-09-25,-0.00027251836612635083
2025-09-26,0.00427146865127781
2025-09-29,0.011675152504280972
2025-09-30,0.014888661887135113
2025-10-01,0.0034724220478570267
2025-10-02,0.004982069114445875
2025-10-03,-0.003369216315509127
2025-10-06,-0.0037499599724206134
2025-10-07,-0.0032011727574903226
2025-10-08,0.013929150112798933
2025-10-09,0.009098114853788747
2025-10-10,-0.0379465900376717
2025-10-13,0.021708091785942678
2025-10-14,-0.02206040781648256
2025-10-15,0.0016643096081710995
2025-10-16,0.002100054805432683
2025-10-17,0.00671583143407839
2025-10-20,0.003617462246167491
2025-10-21,-0.004059134612341697
2025-10-22,-0.005028264884987699
2025-10-23,0.008129070951027434
2025-10-24,0.011253842775581946
2025-10-27,0.014039514656931207
2025-10-28,0.024909916966943446
2025-10-29,0.01494801770879961
2025-10-30,-0.01012221792890262
2025-10-31,0.0015901159113307307
2025-11-03,-5e-05
2025-11-04,-0.005976771446132239
2025-11-05,-0.00707464345658127
2025-11-06,-0.005414680185365622
2025-11-07,0.0006784005535228621
2025-11-10,0.03676838753652778
2025-11-11,-0.013650642677630775
2025-11-12,0.0019348421733385024
2025-11-13,-0.026202051111151203
2025-11-14,0.008775057845920697
2025-11-17,-0.014044561866036365
2025-11-18,-0.018239506003597472
2025-11-19,0.016157433190250425
2025-11-20,-0.02338353077012778
2025-11-21,0.00010904615905515946
2025-11-24,0.01761757449359702
2025-11-25,-0.008252410310221447
2025-11-26,0.010262620121036287
2025-11-28,-0.009042494175080407
2025-12-01,0.008248587570621413
2025-12-02,0.004279679857714602
2025-12-03,-0.005152650721922225
2025-12-04,0.010501812461718324
2025-12-05,-0.0001
2025-12-08,0.007054847732211262
2025-12-09,-0.00048151997425511237
2025-12-10,9.931977535554415e-05
2025-12-11,-0.006590318212030877
2025-12-12,-0.021708315241987908
2025-12-15,0.002872758988136881
2025-12-16,0.002689636695562325
2025-12-17,-0.024576739097372235
2025-12-18,0.01308570194267244
2025-12-19,0.0029952200393217276
2025-12-22,0.01057392002050106
2025-12-23,0.017260553060743027
2025-12-24,0.0017088231873946204
2025-12-26,0.004989171263799547
2025-12-29,-0.001831808173139554
