date,net
2025-06-02,0.0
2025-06-03,0.0
2025-06-04,0.0
2025-06-05,0.0
2025-06-06,0.0
2025-06-09,0.0
2025-06-10,0.0
2025-06-11,0.0
2025-06-12,0.0
2025-06-13,0.0
2025-06-16,0.0
2025-06-17,0.0
2025-06-18,0.0
2025-06-20,0.0
2025-06-23,0.0
2025-06-24,0.0
2025-06-25,0.0
2025-06-26,0.0
2025-06-27,0.0
2025-06-30,0.0
2025-07-01,0.0
2025-07-02,0.0
2025-07-03,0.0
2025-07-07,0.0
2025-07-08,0.0
2025-07-09,0.0
2025-07-10,0.0
2025-07-11,0.0
2025-07-14,0.0
2025-07-15,0.0
2025-07-16,0.0
2025-07-17,0.0
2025-07-18,0.0
2025-07-21,0.0
2025-07-22,0.0
2025-07-23,0.0
2025-07-24,0.0
2025-07-25,0.0
2025-07-28,0.0
2025-07-29,0.0
2025-07-30,0.0
2025-07-31,0.0
2025-08-01,0.0
2025-08-04,0.0
2025-08-05,0.0
2025-08-06,0.0
2025-08-07,0.0
2025-08-08,0.0
2025-08-11,0.0
2025-08-12,0.0
2025-08-13,0.0
2025-08-14,0.0
2025-08-15,0.0
2025-08-18,0.0
2025-08-19,0.0
2025-08-20,-5e-05
2025-08-21,-0.0011972633979475678
2025-08-22,0.008600982969482307
2025-08-25,0.005062646777908903
2025-08-26,0.0
2025-08-27,0.0
2025-08-28,0.0
2025-08-29,-5e-05
2025-09-02,-0.009760018371799295
2025-09-03,-0.00046843892727482794
2025-09-04,0.003047708357754031
2025-09-05,-0.013515087964581118
2025-09-08,0.0038618129565320958
2025-09-09,0.007278236587249687
2025-09-10,0.019187526352775867
2025-09-11,0.0
2025-09-12,0.0
2025-09-15,0.0
2025-09-16,0.0
2025-09-17,-5e-05
2025-09-18,0.017420197897703986
2025-09-19,0.0
2025-09-22,0.0
2025-09-23,0.0
2025-09-24,0.0
2025-09-25,0.0
2025-09-26,0.0
2025-09-29,0.0
2025-09-30,0.0
2025-10-01,0.0
2025-10-02,0.0
2025-10-03,0.0
2025-10-06,0.0
2025-10-07,0.0
2025-10-08,0.0
2025-10-09,0.0
2025-10-10,0.0
2025-10-13,0.0
2025-10-14,0.0
2025-10-15,0.0
2025-10-16,0.0
2025-10-17,0.0
2025-10-20,0.0
2025-10-21,0.0
2025-10-22,0.0
2025-10-23,0.0
2025-10-24,0.0
2025-10-27,0.0
2025-10-28,0.0
2025-10-29,0.0
2025-10-30,0.0
2025-10-31,0.0
2025-11-03,0.0
2025-11-04,0.0
2025-11-05,0.0
2025-11-06,0.0
2025-11-07,0.0
2025-11-10,0.0
2025-11-11,0.0
2025-11-12,0.0
2025-11-13,0.0
2025-11-14,0.0
2025-11-17,-5e-05
2025-11-18,-0.004248777171871892
2025-11-19,0.016157433190250425
2025-11-20,-0.02338353077012778
2025-11-21,0.00010904615905515946
2025-11-24,0.01761757449359702
2025-11-25,-0.008302410310221447
2025-11-26,0.006860870543246023
2025-11-28,-0.009042494175080407
2025-12-01,0.008248587570621413
2025-12-02,0.004279679857714602
2025-12-03,-0.005152650721922225
2025-12-04,0.010551812461718324
2025-12-05,-0.002644781328389134
2025-12-08,0.008556984266213536
2025-12-09,0.0
2025-12-10,0.0
2025-12-11,0.0
2025-12-12,-5e-05
2025-12-15,0.0036281567820819483
2025-12-16,0.004055817119518967
2025-12-17,-0.019074949358541538
2025-12-18,0.009360009360009358
2025-12-19,0.01961808315148738
2025-12-22,0.0
2025-12-23,0.0
2025-12-24,0.0
2025-12-26,0.0
2025-12-29,0.0
2025-12-30,0.0
2025-12-31,0.0
2026-01-02,0.0
2026-01-05,0.0
2026-01-06,0.0
2026-01-07,0.0
2026-01-08,0.0
2026-01-09,0.0
2026-01-12,0.0
2026-01-13,0.0
2026-01-14,0.0
2026-01-15,0.0
2026-01-16,0.0
2026-01-20,-5e-05
2026-01-21,0.014741393833885508
2026-01-22,0.004145756054985794
2026-01-23,0.00760526942220296
2026-01-26,0.0
2026-01-27,0.0
2026-01-28,0.0
2026-01-29,0.0
2026-01-30,0.0
2026-02-02,0.0
2026-02-03,-5e-05
2026-02-04,-0.017101125651547096
2026-02-05,-0.012875316749139276
2026-02-06,0.04885125193375382
2026-02-09,0.0
2026-02-10,0.0
2026-02-11,0.0
